,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,0,SL Malinga,2011-08-22,1st,SE Marsh,0,,SR Watson,0,Sri Lanka,Australia,0,Sri Lanka,R Premadasa Stadium,0,Sri Lanka
1,0.2,0,SL Malinga,2011-08-22,1st,SE Marsh,0,,SR Watson,0,Sri Lanka,Australia,0,Sri Lanka,R Premadasa Stadium,0,Sri Lanka
2,0.3,0,SL Malinga,2011-08-22,1st,SE Marsh,0,,SR Watson,0,Sri Lanka,Australia,0,Sri Lanka,R Premadasa Stadium,0,Sri Lanka
3,0.4,0,SL Malinga,2011-08-22,1st,SE Marsh,0,,SR Watson,0,Sri Lanka,Australia,0,Sri Lanka,R Premadasa Stadium,0,Sri Lanka
4,0.5,0,SL Malinga,2011-08-22,1st,SE Marsh,0,,SR Watson,0,Sri Lanka,Australia,0,Sri Lanka,R Premadasa Stadium,0,Sri Lanka
5,0.6,0,SL Malinga,2011-08-22,1st,SE Marsh,0,,SR Watson,0,Sri Lanka,Australia,0,Sri Lanka,R Premadasa Stadium,0,Sri Lanka
6,1.1,0,RMS Eranga,2011-08-22,1st,SR Watson,0,,SE Marsh,0,Sri Lanka,Australia,1,Sri Lanka,R Premadasa Stadium,0,Sri Lanka
7,1.2,0,RMS Eranga,2011-08-22,1st,SR Watson,0,,SE Marsh,0,Sri Lanka,Australia,2,Sri Lanka,R Premadasa Stadium,0,Sri Lanka
8,1.3,0,RMS Eranga,2011-08-22,1st,SR Watson,0,,SE Marsh,0,Sri Lanka,Australia,2,Sri Lanka,R Premadasa Stadium,0,Sri Lanka
9,1.4,0,RMS Eranga,2011-08-22,1st,SR Watson,0,,SE Marsh,0,Sri Lanka,Australia,2,Sri Lanka,R Premadasa Stadium,0,Sri Lanka
10,1.5,2,RMS Eranga,2011-08-22,1st,SR Watson,0,,SE Marsh,2,Sri Lanka,Australia,4,Sri Lanka,R Premadasa Stadium,0,Sri Lanka
11,1.6,0,RMS Eranga,2011-08-22,1st,SR Watson,0,,SE Marsh,2,Sri Lanka,Australia,4,Sri Lanka,R Premadasa Stadium,0,Sri Lanka
12,1.7,0,RMS Eranga,2011-08-22,1st,SR Watson,0,,SE Marsh,2,Sri Lanka,Australia,4,Sri Lanka,R Premadasa Stadium,0,Sri Lanka
13,1.8,0,RMS Eranga,2011-08-22,1st,SR Watson,0,SE Marsh,SE Marsh,2,Sri Lanka,Australia,4,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
14,2.1,0,SL Malinga,2011-08-22,1st,RT Ponting,0,,SR Watson,0,Sri Lanka,Australia,4,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
15,2.2,4,SL Malinga,2011-08-22,1st,RT Ponting,0,,SR Watson,4,Sri Lanka,Australia,8,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
16,2.3,0,SL Malinga,2011-08-22,1st,RT Ponting,0,,SR Watson,4,Sri Lanka,Australia,9,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
17,2.4,1,SL Malinga,2011-08-22,1st,RT Ponting,0,,SR Watson,5,Sri Lanka,Australia,10,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
18,2.5,0,SL Malinga,2011-08-22,1st,SR Watson,5,,RT Ponting,0,Sri Lanka,Australia,10,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
19,2.6,0,SL Malinga,2011-08-22,1st,SR Watson,5,,RT Ponting,0,Sri Lanka,Australia,10,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
20,2.7,0,SL Malinga,2011-08-22,1st,SR Watson,5,,RT Ponting,0,Sri Lanka,Australia,11,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
21,2.8,0,SL Malinga,2011-08-22,1st,SR Watson,5,,RT Ponting,0,Sri Lanka,Australia,11,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
22,3.1,4,RMS Eranga,2011-08-22,1st,RT Ponting,0,,SR Watson,9,Sri Lanka,Australia,15,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
23,3.2,0,RMS Eranga,2011-08-22,1st,RT Ponting,0,,SR Watson,9,Sri Lanka,Australia,15,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
24,3.3,0,RMS Eranga,2011-08-22,1st,RT Ponting,0,,SR Watson,9,Sri Lanka,Australia,15,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
25,3.4,0,RMS Eranga,2011-08-22,1st,RT Ponting,0,,SR Watson,9,Sri Lanka,Australia,15,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
26,3.5,2,RMS Eranga,2011-08-22,1st,RT Ponting,0,,SR Watson,11,Sri Lanka,Australia,17,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
27,3.6,0,RMS Eranga,2011-08-22,1st,RT Ponting,0,,SR Watson,11,Sri Lanka,Australia,17,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
28,4.1,0,SL Malinga,2011-08-22,1st,SR Watson,11,,RT Ponting,0,Sri Lanka,Australia,18,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
29,4.2,0,SL Malinga,2011-08-22,1st,SR Watson,11,,RT Ponting,0,Sri Lanka,Australia,18,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
30,4.3,0,SL Malinga,2011-08-22,1st,SR Watson,11,,RT Ponting,0,Sri Lanka,Australia,18,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
31,4.4,0,SL Malinga,2011-08-22,1st,SR Watson,11,,RT Ponting,0,Sri Lanka,Australia,19,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
32,4.5,4,SL Malinga,2011-08-22,1st,RT Ponting,0,,SR Watson,15,Sri Lanka,Australia,23,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
33,4.6,0,SL Malinga,2011-08-22,1st,RT Ponting,0,,SR Watson,15,Sri Lanka,Australia,23,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
34,4.7,0,SL Malinga,2011-08-22,1st,RT Ponting,0,,SR Watson,15,Sri Lanka,Australia,23,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
35,5.1,4,RMS Eranga,2011-08-22,1st,SR Watson,15,,RT Ponting,4,Sri Lanka,Australia,27,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
36,5.2,0,RMS Eranga,2011-08-22,1st,SR Watson,15,,RT Ponting,4,Sri Lanka,Australia,27,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
37,5.3,0,RMS Eranga,2011-08-22,1st,SR Watson,15,,RT Ponting,4,Sri Lanka,Australia,27,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
38,5.4,0,RMS Eranga,2011-08-22,1st,SR Watson,15,,RT Ponting,4,Sri Lanka,Australia,27,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
39,5.5,4,RMS Eranga,2011-08-22,1st,SR Watson,15,,RT Ponting,8,Sri Lanka,Australia,31,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
40,5.6,0,RMS Eranga,2011-08-22,1st,SR Watson,15,,RT Ponting,8,Sri Lanka,Australia,31,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
41,6.1,1,S Prasanna,2011-08-22,1st,RT Ponting,8,,SR Watson,16,Sri Lanka,Australia,32,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
42,6.2,0,S Prasanna,2011-08-22,1st,SR Watson,16,,RT Ponting,8,Sri Lanka,Australia,32,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
43,6.3,0,S Prasanna,2011-08-22,1st,SR Watson,16,,RT Ponting,8,Sri Lanka,Australia,32,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
44,6.4,0,S Prasanna,2011-08-22,1st,SR Watson,16,,RT Ponting,8,Sri Lanka,Australia,32,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
45,6.5,1,S Prasanna,2011-08-22,1st,SR Watson,16,,RT Ponting,9,Sri Lanka,Australia,33,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
46,6.6,0,S Prasanna,2011-08-22,1st,RT Ponting,9,,SR Watson,16,Sri Lanka,Australia,33,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
47,7.1,4,RMS Eranga,2011-08-22,1st,SR Watson,16,,RT Ponting,13,Sri Lanka,Australia,37,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
48,7.2,1,RMS Eranga,2011-08-22,1st,SR Watson,16,,RT Ponting,14,Sri Lanka,Australia,38,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
49,7.3,0,RMS Eranga,2011-08-22,1st,RT Ponting,14,,SR Watson,16,Sri Lanka,Australia,38,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
50,7.4,0,RMS Eranga,2011-08-22,1st,RT Ponting,14,,SR Watson,16,Sri Lanka,Australia,38,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
51,7.5,0,RMS Eranga,2011-08-22,1st,RT Ponting,14,,SR Watson,16,Sri Lanka,Australia,38,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
52,7.6,0,RMS Eranga,2011-08-22,1st,RT Ponting,14,,SR Watson,16,Sri Lanka,Australia,38,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
53,8.1,1,S Prasanna,2011-08-22,1st,SR Watson,16,,RT Ponting,15,Sri Lanka,Australia,39,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
54,8.2,0,S Prasanna,2011-08-22,1st,RT Ponting,15,,SR Watson,16,Sri Lanka,Australia,39,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
55,8.3,0,S Prasanna,2011-08-22,1st,RT Ponting,15,,SR Watson,16,Sri Lanka,Australia,39,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
56,8.4,0,S Prasanna,2011-08-22,1st,RT Ponting,15,,SR Watson,16,Sri Lanka,Australia,39,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
57,8.5,1,S Prasanna,2011-08-22,1st,RT Ponting,15,,SR Watson,17,Sri Lanka,Australia,40,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
58,8.6,4,S Prasanna,2011-08-22,1st,SR Watson,17,,RT Ponting,19,Sri Lanka,Australia,44,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
59,9.1,4,RMS Eranga,2011-08-22,1st,RT Ponting,19,,SR Watson,21,Sri Lanka,Australia,48,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
60,9.2,1,RMS Eranga,2011-08-22,1st,RT Ponting,19,,SR Watson,22,Sri Lanka,Australia,49,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
61,9.3,0,RMS Eranga,2011-08-22,1st,SR Watson,22,,RT Ponting,19,Sri Lanka,Australia,49,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
62,9.4,1,RMS Eranga,2011-08-22,1st,SR Watson,22,,RT Ponting,20,Sri Lanka,Australia,50,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
63,9.5,1,RMS Eranga,2011-08-22,1st,RT Ponting,20,,SR Watson,23,Sri Lanka,Australia,51,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
64,9.6,1,RMS Eranga,2011-08-22,1st,SR Watson,23,,RT Ponting,21,Sri Lanka,Australia,52,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
65,10.1,1,S Prasanna,2011-08-22,1st,SR Watson,23,,RT Ponting,22,Sri Lanka,Australia,53,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
66,10.2,0,S Prasanna,2011-08-22,1st,RT Ponting,22,,SR Watson,23,Sri Lanka,Australia,53,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
67,10.3,0,S Prasanna,2011-08-22,1st,RT Ponting,22,,SR Watson,23,Sri Lanka,Australia,53,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
68,10.4,0,S Prasanna,2011-08-22,1st,RT Ponting,22,,SR Watson,23,Sri Lanka,Australia,53,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
69,10.5,4,S Prasanna,2011-08-22,1st,RT Ponting,22,,SR Watson,27,Sri Lanka,Australia,57,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
70,10.6,1,S Prasanna,2011-08-22,1st,RT Ponting,22,,SR Watson,28,Sri Lanka,Australia,58,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
71,11.1,1,AD Mathews,2011-08-22,1st,RT Ponting,22,,SR Watson,29,Sri Lanka,Australia,59,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
72,11.2,0,AD Mathews,2011-08-22,1st,SR Watson,29,,RT Ponting,22,Sri Lanka,Australia,59,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
73,11.3,0,AD Mathews,2011-08-22,1st,SR Watson,29,,RT Ponting,22,Sri Lanka,Australia,59,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
74,11.4,1,AD Mathews,2011-08-22,1st,SR Watson,29,,RT Ponting,23,Sri Lanka,Australia,60,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
75,11.5,1,AD Mathews,2011-08-22,1st,RT Ponting,23,,SR Watson,30,Sri Lanka,Australia,61,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
76,11.6,0,AD Mathews,2011-08-22,1st,SR Watson,30,,RT Ponting,23,Sri Lanka,Australia,61,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
77,12.1,0,S Prasanna,2011-08-22,1st,RT Ponting,23,,SR Watson,30,Sri Lanka,Australia,61,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
78,12.2,1,S Prasanna,2011-08-22,1st,RT Ponting,23,,SR Watson,31,Sri Lanka,Australia,62,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
79,12.3,0,S Prasanna,2011-08-22,1st,SR Watson,31,,RT Ponting,23,Sri Lanka,Australia,62,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
80,12.4,4,S Prasanna,2011-08-22,1st,SR Watson,31,,RT Ponting,27,Sri Lanka,Australia,66,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
81,12.5,0,S Prasanna,2011-08-22,1st,SR Watson,31,,RT Ponting,27,Sri Lanka,Australia,66,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
82,12.6,4,S Prasanna,2011-08-22,1st,SR Watson,31,,RT Ponting,31,Sri Lanka,Australia,70,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
83,13.1,0,AD Mathews,2011-08-22,1st,RT Ponting,31,,SR Watson,31,Sri Lanka,Australia,70,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
84,13.2,1,AD Mathews,2011-08-22,1st,RT Ponting,31,,SR Watson,32,Sri Lanka,Australia,71,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
85,13.3,0,AD Mathews,2011-08-22,1st,SR Watson,32,,RT Ponting,31,Sri Lanka,Australia,71,Sri Lanka,R Premadasa Stadium,1,Sri Lanka
86,13.4,0,AD Mathews,2011-08-22,1st,SR Watson,32,RT Ponting,RT Ponting,31,Sri Lanka,Australia,71,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
87,13.5,0,AD Mathews,2011-08-22,1st,SR Watson,32,,MJ Clarke,0,Sri Lanka,Australia,71,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
88,13.6,0,AD Mathews,2011-08-22,1st,SR Watson,32,,MJ Clarke,0,Sri Lanka,Australia,71,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
89,14.1,0,S Prasanna,2011-08-22,1st,MJ Clarke,0,,SR Watson,32,Sri Lanka,Australia,71,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
90,14.2,1,S Prasanna,2011-08-22,1st,MJ Clarke,0,,SR Watson,33,Sri Lanka,Australia,72,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
91,14.3,0,S Prasanna,2011-08-22,1st,SR Watson,33,,MJ Clarke,0,Sri Lanka,Australia,72,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
92,14.4,0,S Prasanna,2011-08-22,1st,SR Watson,33,,MJ Clarke,0,Sri Lanka,Australia,72,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
93,14.5,0,S Prasanna,2011-08-22,1st,SR Watson,33,,MJ Clarke,0,Sri Lanka,Australia,72,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
94,14.6,2,S Prasanna,2011-08-22,1st,SR Watson,33,,MJ Clarke,2,Sri Lanka,Australia,74,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
95,15.1,0,AD Mathews,2011-08-22,1st,MJ Clarke,2,,SR Watson,33,Sri Lanka,Australia,74,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
96,15.2,0,AD Mathews,2011-08-22,1st,MJ Clarke,2,,SR Watson,33,Sri Lanka,Australia,74,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
97,15.3,1,AD Mathews,2011-08-22,1st,MJ Clarke,2,,SR Watson,34,Sri Lanka,Australia,75,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
98,15.4,0,AD Mathews,2011-08-22,1st,SR Watson,34,,MJ Clarke,2,Sri Lanka,Australia,75,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
99,15.5,0,AD Mathews,2011-08-22,1st,SR Watson,34,,MJ Clarke,2,Sri Lanka,Australia,75,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
100,15.6,1,AD Mathews,2011-08-22,1st,SR Watson,34,,MJ Clarke,3,Sri Lanka,Australia,76,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
101,16.1,0,BMAJ Mendis,2011-08-22,1st,SR Watson,34,,MJ Clarke,3,Sri Lanka,Australia,76,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
102,16.2,0,BMAJ Mendis,2011-08-22,1st,SR Watson,34,,MJ Clarke,3,Sri Lanka,Australia,76,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
103,16.3,1,BMAJ Mendis,2011-08-22,1st,SR Watson,34,,MJ Clarke,4,Sri Lanka,Australia,77,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
104,16.4,0,BMAJ Mendis,2011-08-22,1st,MJ Clarke,4,,SR Watson,34,Sri Lanka,Australia,77,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
105,16.5,1,BMAJ Mendis,2011-08-22,1st,MJ Clarke,4,,SR Watson,35,Sri Lanka,Australia,78,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
106,16.6,1,BMAJ Mendis,2011-08-22,1st,SR Watson,35,,MJ Clarke,5,Sri Lanka,Australia,79,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
107,17.1,0,BAW Mendis,2011-08-22,1st,SR Watson,35,,MJ Clarke,5,Sri Lanka,Australia,79,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
108,17.2,0,BAW Mendis,2011-08-22,1st,SR Watson,35,,MJ Clarke,5,Sri Lanka,Australia,79,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
109,17.3,0,BAW Mendis,2011-08-22,1st,SR Watson,35,,MJ Clarke,5,Sri Lanka,Australia,79,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
110,17.4,1,BAW Mendis,2011-08-22,1st,SR Watson,35,,MJ Clarke,6,Sri Lanka,Australia,80,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
111,17.5,1,BAW Mendis,2011-08-22,1st,MJ Clarke,6,,SR Watson,36,Sri Lanka,Australia,81,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
112,17.6,1,BAW Mendis,2011-08-22,1st,SR Watson,36,,MJ Clarke,7,Sri Lanka,Australia,82,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
113,18.1,1,BMAJ Mendis,2011-08-22,1st,SR Watson,36,,MJ Clarke,8,Sri Lanka,Australia,83,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
114,18.2,0,BMAJ Mendis,2011-08-22,1st,MJ Clarke,8,,SR Watson,36,Sri Lanka,Australia,83,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
115,18.3,6,BMAJ Mendis,2011-08-22,1st,MJ Clarke,8,,SR Watson,42,Sri Lanka,Australia,89,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
116,18.4,4,BMAJ Mendis,2011-08-22,1st,MJ Clarke,8,,SR Watson,46,Sri Lanka,Australia,93,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
117,18.5,0,BMAJ Mendis,2011-08-22,1st,MJ Clarke,8,,SR Watson,46,Sri Lanka,Australia,93,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
118,18.6,0,BMAJ Mendis,2011-08-22,1st,MJ Clarke,8,,SR Watson,46,Sri Lanka,Australia,93,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
119,19.1,1,BAW Mendis,2011-08-22,1st,SR Watson,46,,MJ Clarke,9,Sri Lanka,Australia,94,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
120,19.2,0,BAW Mendis,2011-08-22,1st,MJ Clarke,9,,SR Watson,46,Sri Lanka,Australia,94,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
121,19.3,0,BAW Mendis,2011-08-22,1st,MJ Clarke,9,,SR Watson,46,Sri Lanka,Australia,94,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
122,19.4,0,BAW Mendis,2011-08-22,1st,MJ Clarke,9,,SR Watson,46,Sri Lanka,Australia,94,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
123,19.5,0,BAW Mendis,2011-08-22,1st,MJ Clarke,9,,SR Watson,46,Sri Lanka,Australia,94,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
124,19.6,0,BAW Mendis,2011-08-22,1st,MJ Clarke,9,,SR Watson,46,Sri Lanka,Australia,94,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
125,20.1,1,BMAJ Mendis,2011-08-22,1st,SR Watson,46,,MJ Clarke,10,Sri Lanka,Australia,95,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
126,20.2,1,BMAJ Mendis,2011-08-22,1st,MJ Clarke,10,,SR Watson,47,Sri Lanka,Australia,96,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
127,20.3,0,BMAJ Mendis,2011-08-22,1st,SR Watson,47,,MJ Clarke,10,Sri Lanka,Australia,96,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
128,20.4,1,BMAJ Mendis,2011-08-22,1st,SR Watson,47,,MJ Clarke,11,Sri Lanka,Australia,97,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
129,20.5,1,BMAJ Mendis,2011-08-22,1st,MJ Clarke,11,,SR Watson,48,Sri Lanka,Australia,98,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
130,20.6,0,BMAJ Mendis,2011-08-22,1st,SR Watson,48,,MJ Clarke,11,Sri Lanka,Australia,98,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
131,21.1,2,BAW Mendis,2011-08-22,1st,MJ Clarke,11,,SR Watson,50,Sri Lanka,Australia,100,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
132,21.2,1,BAW Mendis,2011-08-22,1st,MJ Clarke,11,,SR Watson,51,Sri Lanka,Australia,101,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
133,21.3,1,BAW Mendis,2011-08-22,1st,SR Watson,51,,MJ Clarke,12,Sri Lanka,Australia,102,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
134,21.4,1,BAW Mendis,2011-08-22,1st,MJ Clarke,12,,SR Watson,52,Sri Lanka,Australia,103,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
135,21.5,1,BAW Mendis,2011-08-22,1st,SR Watson,52,,MJ Clarke,13,Sri Lanka,Australia,104,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
136,21.6,0,BAW Mendis,2011-08-22,1st,MJ Clarke,13,,SR Watson,52,Sri Lanka,Australia,104,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
137,22.1,1,BMAJ Mendis,2011-08-22,1st,SR Watson,52,,MJ Clarke,14,Sri Lanka,Australia,105,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
138,22.2,0,BMAJ Mendis,2011-08-22,1st,MJ Clarke,14,,SR Watson,52,Sri Lanka,Australia,105,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
139,22.3,1,BMAJ Mendis,2011-08-22,1st,MJ Clarke,14,,SR Watson,53,Sri Lanka,Australia,106,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
140,22.4,0,BMAJ Mendis,2011-08-22,1st,SR Watson,53,,MJ Clarke,14,Sri Lanka,Australia,106,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
141,22.5,1,BMAJ Mendis,2011-08-22,1st,SR Watson,53,,MJ Clarke,15,Sri Lanka,Australia,107,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
142,22.6,0,BMAJ Mendis,2011-08-22,1st,MJ Clarke,15,,SR Watson,53,Sri Lanka,Australia,109,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
143,23.1,0,SL Malinga,2011-08-22,1st,SR Watson,53,,MJ Clarke,15,Sri Lanka,Australia,109,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
144,23.2,0,SL Malinga,2011-08-22,1st,SR Watson,53,,MJ Clarke,15,Sri Lanka,Australia,109,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
145,23.3,0,SL Malinga,2011-08-22,1st,SR Watson,53,,MJ Clarke,15,Sri Lanka,Australia,109,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
146,23.4,0,SL Malinga,2011-08-22,1st,SR Watson,53,,MJ Clarke,15,Sri Lanka,Australia,109,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
147,23.5,1,SL Malinga,2011-08-22,1st,SR Watson,53,,MJ Clarke,16,Sri Lanka,Australia,110,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
148,23.6,0,SL Malinga,2011-08-22,1st,MJ Clarke,16,,SR Watson,53,Sri Lanka,Australia,110,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
149,24.1,1,S Prasanna,2011-08-22,1st,SR Watson,53,,MJ Clarke,17,Sri Lanka,Australia,111,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
150,24.2,0,S Prasanna,2011-08-22,1st,MJ Clarke,17,,SR Watson,53,Sri Lanka,Australia,111,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
151,24.3,0,S Prasanna,2011-08-22,1st,MJ Clarke,17,,SR Watson,53,Sri Lanka,Australia,111,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
152,24.4,0,S Prasanna,2011-08-22,1st,MJ Clarke,17,,SR Watson,53,Sri Lanka,Australia,111,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
153,24.5,0,S Prasanna,2011-08-22,1st,MJ Clarke,17,,SR Watson,53,Sri Lanka,Australia,111,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
154,24.6,0,S Prasanna,2011-08-22,1st,MJ Clarke,17,,SR Watson,53,Sri Lanka,Australia,111,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
155,25.1,4,SL Malinga,2011-08-22,1st,SR Watson,53,,MJ Clarke,21,Sri Lanka,Australia,115,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
156,25.2,0,SL Malinga,2011-08-22,1st,SR Watson,53,,MJ Clarke,21,Sri Lanka,Australia,115,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
157,25.3,0,SL Malinga,2011-08-22,1st,SR Watson,53,,MJ Clarke,21,Sri Lanka,Australia,115,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
158,25.4,1,SL Malinga,2011-08-22,1st,SR Watson,53,,MJ Clarke,22,Sri Lanka,Australia,116,Sri Lanka,R Premadasa Stadium,2,Sri Lanka
